Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	EpGoals	TestEpGoals	CumulativeCost	CostRate	TotalEnvInteracts	AverageQR1Vals	StdQR1Vals	MaxQR1Vals	MinQR1Vals	AverageQR2Vals	StdQR2Vals	MaxQR2Vals	MinQR2Vals	AverageQCVals	StdQCVals	MaxQCVals	MinQCVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQR1	LossQR2	LossQC	LossAlpha	LogAlpha	Alpha	LossBeta	LogBeta	Beta	PiEntropy	TestTime	EpochTime	TotalTime
1	1.2512475	1.4980261	9.323863	0.014246365	0.0	0.0	0.0	0.0	23.060402	102.455185	949.0	0.0	9.4	28.199999	94.0	0.0	200.24161	1000.0	0.0	0.0	3453.0	0.05755	30001.0	-86.3929	84.63583	9.182227	-533.9112	-86.392685	84.62388	9.298704	-530.5487	1.7402567	7.23963	43.814056	-4.1208577	2.9350142	3.9480114	60.454403	-11.463573	1111.3385	20.571888	20.7843	0.09065021	-0.93501467	0.0	1.0	-786.43964	5.6949477	509.16574	-2.9350145	12.792952	277.3858	278.1598093509674
2	1.9797169	1.2107518	5.44522	0.09420066	0.0	0.0	0.0	0.0	10.728813	28.209766	122.0	0.0	0.0	0.0	0.0	0.0	504.9661	1000.0	0.0	0.0	4069.0	0.04521111111111111	60001.0	-287.11646	120.5957	-29.023645	-1045.6409	-287.1163	120.55186	-35.020588	-1075.2975	-0.48381823	5.2650137	39.28302	-4.8098426	2.9799497	4.1509686	43.41854	-11.163273	87.935776	81.95095	82.308914	0.054699205	-0.9799499	0.0	1.0	498.54486	6.407358	701.2246	-2.9799497	11.840719	240.41792	518.6230862140656
3	0.7693227	0.752347	3.6892257	0.0070065497	0.0	0.0	0.0	0.0	0.13063063	1.9419641	29.0	0.0	0.0	0.0	0.0	0.0	136.21622	1000.0	0.0	0.0	4098.0	0.03415	90001.0	-68.570335	100.844765	54.409306	-916.9139	-68.57245	100.8456	48.598236	-896.5847	0.4125937	5.1607947	43.3301	-4.67651	-0.48193663	1.6813803	27.48577	-11.0343685	110.102	9.75349	9.571646	0.046166617	2.4819365	0.0	1.0	0.9552583	2.591048	73.9848	0.4819365	11.588572	307.99265	826.5832533836365
4	2.6266074	1.0435692	4.3218365	0.019719481	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	852.88574	1000.0	0.0	0.0	4098.0	0.02732	120001.0	36.664658	34.492527	79.64865	-360.91626	36.665295	34.484486	78.895584	-363.47913	0.49806547	4.345612	41.370056	-0.7678138	-0.8044596	1.602851	25.025824	-10.939896	28.85	6.0195823	6.1586103	0.03177253	2.8044593	0.0	1.0	0.14309947	4.8537283	129.02362	0.8044596	12.15901	228.9762	1055.5828018188477
5	2.1995287	0.67341954	3.0758116	0.05235043	0.0	0.0	0.0	0.0	3.3939395	19.19902	112.0	0.0	0.0	0.0	0.0	0.0	907.6667	1000.0	0.0	0.0	4210.0	0.02338888888888889	150001.0	68.30159	28.006647	108.91424	-334.01086	68.300896	28.00094	108.44887	-337.20483	0.45835885	3.5196946	38.78534	-0.64903665	-1.0917912	1.0044053	18.225367	-8.501741	-55.11972	5.125945	5.1042852	0.026146227	3.091791	0.0	1.0	1.9656593	2.3380578	26.2706	1.0917909	11.751277	228.27493	1283.8327689170837
6	2.3672092	0.25736976	2.890737	1.9884485	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	0.0	0.0	4210.0	0.020047619047619047	180001.0	93.26595	19.222559	119.02661	-143.07893	93.265976	19.234545	118.16698	-137.13513	0.4981883	3.6512187	42.682095	-0.7039277	-1.174036	0.69725776	8.010701	-10.541889	-88.92937	4.690659	4.6743813	0.027639445	3.1740365	0.0	1.0	-0.0044302978	-0.94412774	2.8723462	1.1740361	11.723876	227.78426	1511.6390318870544
7	2.4775248	0.28725013	3.168573	1.9833603	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	0.0	0.0	4210.0	0.017541666666666667	210001.0	104.59843	16.570099	124.82597	-77.55283	104.59834	16.57557	124.52653	-82.032974	0.47059613	3.6155584	46.36671	-0.62749356	-1.2135127	0.62359273	8.450297	-8.367116	-101.5418	4.7679024	4.77153	0.029043319	3.2135127	0.0	1.0	0.017645778	-6.171702	0.83445865	1.2135128	12.284893	226.54657	1738.1809108257294
8	2.57974	0.5270177	3.1072445	0.0010478444	0.0	0.0	0.0	0.0	11.064516	40.38519	177.0	0.0	0.0	0.0	0.0	0.0	967.80646	1000.0	0.0	0.0	4553.0	0.01686296296296296	240001.0	110.47911	15.972414	130.75444	-65.52772	110.47908	15.975824	130.52208	-53.109882	0.4500395	3.371818	44.565956	-0.55687815	-1.2294667	0.57881635	10.520981	-8.83802	-108.433235	4.6476655	4.658617	0.026090303	3.2294667	0.0	1.0	3.6031869e-09	-20.652096	1.3696896e-07	1.2294668	10.520114	226.51509	1964.6799576282501
9	2.6595647	0.29566285	3.3297236	2.1471465	0.0	0.0	0.0	0.0	8.133333	29.194445	153.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	0.0	0.0	4797.0	0.01599	270001.0	114.81568	14.983965	131.87642	-69.708046	114.81559	14.991172	130.38858	-68.705986	0.4519891	3.3291197	46.614132	-0.619558	-1.235361	0.57166725	8.772779	-8.111819	-112.90431	4.5230117	4.488006	0.024998937	3.2353606	0.0	1.0	3.0757309e-13	-25.594172	8.407746e-12	1.2353606	11.4877	226.50597	2191.1906917095184
10	2.4903977	0.67954636	3.3228335	0.016426004	0.0	0.0	0.0	0.0	6.78125	20.388008	94.0	0.0	0.0	0.0	0.0	0.0	938.3125	1000.0	0.0	0.0	5014.0	0.015193939393939393	300001.0	117.96249	14.003672	133.5286	-66.637436	117.962395	14.005577	133.81409	-73.63203	0.4462828	3.1485481	46.23108	-0.8664387	-1.2476705	0.5428408	8.594091	-9.9941025	-116.41136	4.3735533	4.3382635	0.025413448	3.247671	0.0	1.0	1.2997674e-13	-26.781525	2.3660776e-12	1.247671	12.814589	229.5524	2420.7416360378265
